Number,Algorithm,Size,Density,Time
204	BFS	80	0,2	1
205	DFS	80	0,2	1
206	BFS	80	0,2	1
207	DFS	80	0,2	1
208	BFS	80	0,2	1
209	DFS	80	0,2	1
210	BFS	80	0,2	1
211	DFS	80	0,2	1
212	BFS	80	0,2	1
213	DFS	80	0,2	1
214	BFS	80	0,2	1
215	DFS	80	0,2	1
216	BFS	80	0,2	1
217	DFS	80	0,2	1
218	BFS	80	0,2	1
219	DFS	80	0,2	1
220	BFS	80	0,2	1
221	DFS	80	0,2	1
222	BFS	80	0,2	1
223	DFS	80	0,2	1
224	BFS	80	0,2	1
225	DFS	80	0,2	1
226	BFS	80	0,2	1
227	DFS	80	0,2	1
228	BFS	80	0,2	1
229	DFS	80	0,2	1
230	BFS	80	0,2	1
231	DFS	80	0,2	1
232	BFS	80	0,2	1
233	DFS	80	0,2	1
234	BFS	80	0,2	1
235	DFS	80	0,2	1
236	BFS	80	0,2	1
237	DFS	80	0,2	1
238	BFS	80	0,2	1
239	DFS	80	0,2	1
240	BFS	80	0,4	1
241	DFS	80	0,4	1
242	BFS	80	0,4	1
243	DFS	80	0,4	1
244	BFS	80	0,4	1
245	DFS	80	0,4	1
246	BFS	80	0,4	1
247	DFS	80	0,4	1
248	BFS	80	0,4	1
249	DFS	80	0,4	1
250	BFS	80	0,4	1
251	DFS	80	0,4	1
252	BFS	80	0,4	1
253	DFS	80	0,4	1
254	BFS	80	0,4	1
255	DFS	80	0,4	1
256	BFS	80	0,4	1
257	DFS	80	0,4	1
258	BFS	80	0,4	1
259	DFS	80	0,4	1
260	BFS	80	0,4	1
261	DFS	80	0,4	1
262	BFS	80	0,4	1
263	DFS	80	0,4	1
264	BFS	80	0,4	1
265	DFS	80	0,4	1
266	BFS	80	0,4	1
267	DFS	80	0,4	1
268	BFS	80	0,4	1
269	DFS	80	0,4	1
270	BFS	80	0,4	1
271	DFS	80	0,4	1
272	BFS	80	0,4	1
273	DFS	80	0,4	1
274	BFS	80	0,4	1
275	DFS	80	0,4	1
276	BFS	80	0,4	1
277	DFS	80	0,4	1
278	BFS	80	0,4	1
279	DFS	80	0,4	1
280	BFS	80	0,6	1
281	DFS	80	0,6	1
282	BFS	80	0,6	1
283	DFS	80	0,6	1
284	BFS	80	0,6	1
285	DFS	80	0,6	1
286	BFS	80	0,6	1
287	DFS	80	0,6	1
288	BFS	80	0,6	1
289	DFS	80	0,6	1
290	BFS	80	0,6	1
291	DFS	80	0,6	1
292	BFS	80	0,6	1
293	DFS	80	0,6	1
294	BFS	80	0,6	1
295	DFS	80	0,6	1
296	BFS	80	0,6	1
297	DFS	80	0,6	1
298	BFS	80	0,6	1
299	DFS	80	0,6	1
300	BFS	80	0,6	1
301	DFS	80	0,6	1
302	BFS	80	0,6	1
303	DFS	80	0,6	1
304	BFS	80	0,6	1
305	DFS	80	0,6	1
306	BFS	80	0,6	1
