Number,Algorithm,Size,Density,Time
84,BFS,50,0,6,0
85,DFS,50,0,6,0
86,BFS,50,0,6,0
87,DFS,50,0,6,0
88,BFS,50,0,6,0
89,DFS,50,0,6,0
90,BFS,50,0,6,0
91,DFS,50,0,6,0
92,BFS,50,0,6,0
93,DFS,50,0,6,0
94,BFS,50,0,6,0
95,DFS,50,0,6,0
96,BFS,50,0,6,0
97,DFS,50,0,6,0
98,BFS,50,0,6,0
99,DFS,50,0,6,0
100,BFS,50,0,6,0
101,DFS,50,0,6,0
102,BFS,50,0,6,0
103,DFS,50,0,6,0
104,BFS,50,0,6,0
105,DFS,50,0,6,0
106,BFS,50,0,6,0
107,DFS,50,0,6,0
108,BFS,50,0,6,0
109,DFS,50,0,6,0
110,BFS,50,0,6,0
111,DFS,50,0,6,0
112,BFS,50,0,6,0
113,DFS,50,0,6,0
114,BFS,50,0,6,0
115,DFS,50,0,6,0
116,BFS,50,0,6,0
117,DFS,50,0,6,0
118,BFS,50,0,6,0
119,DFS,50,0,6,0
120,BFS,50,0,8,1
121,DFS,50,0,8,0
122,BFS,50,0,8,0
123,DFS,50,0,8,0
124,BFS,50,0,8,0
125,DFS,50,0,8,0
126,BFS,50,0,8,0
127,DFS,50,0,8,0
128,BFS,50,0,8,0
129,DFS,50,0,8,0
130,BFS,50,0,8,0
131,DFS,50,0,8,0
132,BFS,50,0,8,0
133,DFS,50,0,8,0
134,BFS,50,0,8,0
135,DFS,50,0,8,0
136,BFS,50,0,8,0
137,DFS,50,0,8,0
138,BFS,50,0,8,0
139,DFS,50,0,8,0
140,BFS,50,0,8,0
141,DFS,50,0,8,0
142,BFS,50,0,8,0
143,DFS,50,0,8,0
144,BFS,50,0,8,0
145,DFS,50,0,8,0
146,BFS,50,0,8,0
147,DFS,50,0,8,0
148,BFS,50,0,8,0
149,DFS,50,0,8,0
150,BFS,50,0,8,0
151,DFS,50,0,8,0
152,BFS,50,0,8,0
153,DFS,50,0,8,0
154,BFS,50,0,8,0
155,DFS,50,0,8,0
156,BFS,50,0,8,0
157,DFS,50,0,8,0
158,BFS,50,0,8,0
159,DFS,50,0,8,0
160,BFS,50,1,0
161,DFS,50,1,0
162,BFS,50,1,0
163,DFS,50,1,0
164,BFS,50,1,0
165,DFS,50,1,0
166,BFS,50,1,0
167,DFS,50,1,0
168,BFS,50,1,0
169,DFS,50,1,0
170,BFS,50,1,0
171,DFS,50,1,0
172,BFS,50,1,0
173,DFS,50,1,0
174,BFS,50,1,0
175,DFS,50,1,0
176,BFS,50,1,0
177,DFS,50,1,0
178,BFS,50,1,0
179,DFS,50,1,0
180,BFS,50,1,0
181,DFS,50,1,0
182,BFS,50,1,0
183,DFS,50,1,0
184,BFS,50,1,0
185,DFS,50,1,0
186,BFS,50,1,0
187,DFS,50,1,0
188,BFS,50,1,0
189,DFS,50,1,0
190,BFS,50,1,0
191,DFS,50,1,0
192,BFS,50,1,0
193,DFS,50,1,0
194,BFS,50,1,0
195,DFS,50,1,0
196,BFS,50,1,0
197,DFS,50,1,0
198,BFS,50,1,0
199,DFS,50,1,0
200,BFS,80,0,2,2
201,DFS,80,0,2,2
202,BFS,80,0,2,2
203,DFS,80,0,2,2
204,BFS,80,0,2,2
205,DFS,80,0,2,2
206,BFS,80,0,2,2
207,DFS,80,0,2,2
208,BFS,80,0,2,2
209,DFS,80,0,2,2
210,BFS,80,0,2,2
211,DFS,80,0,2,2
212,BFS,80,0,2,3
213,DFS,80,0,2,2
214,BFS,80,0,2,2
215,DFS,80,0,2,2
216,BFS,80,0,2,2
217,DFS,80,0,2,2
218,BFS,80,0,2,2
219,DFS,80,0,2,2
220,BFS,80,0,2,2
221,DFS,80,0,2,2
222,BFS,80,0,2,2
223,DFS,80,0,2,2
224,BFS,80,0,2,2
225,DFS,80,0,2,2
226,BFS,80,0,2,2
227,DFS,80,0,2,2
228,BFS,80,0,2,2
229,DFS,80,0,2,2
230,BFS,80,0,2,2
231,DFS,80,0,2,2
232,BFS,80,0,2,2
233,DFS,80,0,2,2
234,BFS,80,0,2,2
235,DFS,80,0,2,2
236,BFS,80,0,2,2
237,DFS,80,0,2,2
238,BFS,80,0,2,2
239,DFS,80,0,2,2
240,BFS,80,0,4,2
241,DFS,80,0,4,2
242,BFS,80,0,4,2
243,DFS,80,0,4,2
244,BFS,80,0,4,2
245,DFS,80,0,4,2
246,BFS,80,0,4,2
247,DFS,80,0,4,2
248,BFS,80,0,4,2
249,DFS,80,0,4,2
250,BFS,80,0,4,2
251,DFS,80,0,4,2
252,BFS,80,0,4,2
253,DFS,80,0,4,2
254,BFS,80,0,4,2
255,DFS,80,0,4,2
256,BFS,80,0,4,2
257,DFS,80,0,4,2
258,BFS,80,0,4,2
259,DFS,80,0,4,2
260,BFS,80,0,4,2
261,DFS,80,0,4,2
262,BFS,80,0,4,2
263,DFS,80,0,4,2
264,BFS,80,0,4,2
265,DFS,80,0,4,2
266,BFS,80,0,4,2
267,DFS,80,0,4,2
268,BFS,80,0,4,2
269,DFS,80,0,4,2
270,BFS,80,0,4,2
271,DFS,80,0,4,2
272,BFS,80,0,4,2
273,DFS,80,0,4,2
274,BFS,80,0,4,2
275,DFS,80,0,4,2
276,BFS,80,0,4,2
277,DFS,80,0,4,2
278,BFS,80,0,4,2
279,DFS,80,0,4,2
280,BFS,80,0,6,2
281,DFS,80,0,6,2
282,BFS,80,0,6,2
283,DFS,80,0,6,2
284,BFS,80,0,6,2
285,DFS,80,0,6,2
286,BFS,80,0,6,2
287,DFS,80,0,6,2
288,BFS,80,0,6,2
289,DFS,80,0,6,2
290,BFS,80,0,6,2
291,DFS,80,0,6,2
292,BFS,80,0,6,2
293,DFS,80,0,6,2
294,BFS,80,0,6,2
295,DFS,80,0,6,2
296,BFS,80,0,6,2
297,DFS,80,0,6,2
298,BFS,80,0,6,2
299,DFS,80,0,6,2
300,BFS,80,0,6,2
301,DFS,80,0,6,2
302,BFS,80,0,6,2
303,DFS,80,0,6,2
304,BFS,80,0,6,2
305,DFS,80,0,6,2
306,BFS,80,0,6,2
307,DFS,80,0,6,2
308,BFS,80,0,6,2
309,DFS,80,0,6,2
310,BFS,80,0,6,2
311,DFS,80,0,6,2
312,BFS,80,0,6,2
313,DFS,80,0,6,2
314,BFS,80,0,6,2
315,DFS,80,0,6,2
316,BFS,80,0,6,2
317,DFS,80,0,6,2
318,BFS,80,0,6,2
319,DFS,80,0,6,2
320,BFS,80,0,8,2
321,DFS,80,0,8,2
322,BFS,80,0,8,2
323,DFS,80,0,8,2
324,BFS,80,0,8,2
325,DFS,80,0,8,2
326,BFS,80,0,8,2
